Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_53,Turno_A,3,12,2,30,0,30,15,0,0,860937
Categoria_08,Turno_A,3,10,2,58,18,40,39,0,0,310804
Categoria_43,Turno_A,3,10,4,8,0,8,4,0,0,129176
Categoria_09,Turno_B,3,10,4,101,13,88,61,0,0,22666
Categoria_63,Turno_B,2,9,3,26,0,26,26,0,0,34538
Categoria_48,Turno_B,3,12,5,12,0,12,12,0,0,311648
Categoria_26,Turno_A,2,9,2,203,67,136,104,0,0,490754
Categoria_59,Turno_A,3,11,5,14,0,14,1,0,0,596146
Categoria_33,Turno_B,3,13,3,2,0,2,0,0,0,298998
Categoria_26,Turno_B,3,10,4,123,19,104,49,0,0,490754
Categoria_24,Turno_A,3,10,3,12,0,12,3,0,0,23986
Categoria_24,Turno_B,3,10,3,10,0,10,5,0,0,23986
Categoria_24,Turno_B,3,13,4,10,0,10,1,0,0,23986
Categoria_35,Turno_B,2,9,3,168,43,125,9,0,0,139312
Categoria_59,Turno_B,3,12,2,20,0,20,6,0,0,596146
Categoria_65,Turno_A,2,9,2,99,0,99,50,0,0,501234
Categoria_25,Turno_B,3,10,4,21,0,21,21,0,0,988732
Categoria_52,Turno_B,3,11,5,41,0,41,0,0,0,143767
Categoria_41,Turno_B,3,13,3,49,0,49,0,0,0,465808
Categoria_50,Turno_B,3,13,4,6,0,6,0,0,0,228126
Categoria_50,Turno_B,3,14,1,6,0,6,0,0,0,228126
Categoria_69,Turno_B,2,9,4,24,0,24,22,0,0,361279
Categoria_26,Turno_B,3,13,3,197,30,167,18,0,0,490754
Categoria_26,Turno_B,2,9,2,153,47,106,74,0,0,490754
Categoria_30,Turno_B,3,13,4,6,0,6,0,0,0,298998
Categoria_54,Turno_B,3,13,4,5,0,5,0,0,0,130151
Categoria_54,Turno_A,3,11,2,15,0,15,0,0,0,130151
Categoria_68,Turno_A,3,12,2,55,0,55,1,0,0,995067
Categoria_37,Turno_B,2,9,3,18,18,0,0,0,0,294806
Categoria_38,Turno_A,3,14,1,6,0,6,1,0,0,638776
Categoria_40,Turno_A,3,11,4,39,0,39,2,0,0,149182
Categoria_12,Turno_B,3,14,1,68,0,68,0,0,0,848688
Categoria_51,Turno_C,2,9,1,4,0,4,4,0,0,657972
Categoria_34,Turno_B,3,13,3,36,0,36,0,0,0,904498
Categoria_67,Turno_A,3,13,5,28,0,28,0,0,0,713550
Categoria_53,Turno_B,3,10,4,21,0,21,16,0,0,860937
Categoria_60,Turno_B,3,12,1,40,0,40,0,0,0,40535
Categoria_56,Turno_A,2,9,2,12,12,0,0,0,0,283109
Categoria_12,Turno_A,2,9,5,78,57,21,8,0,0,848688
Categoria_54,Turno_B,3,10,3,21,11,10,7,0,0,130151
Categoria_33,Turno_C,3,12,1,1,0,1,0,0,0,298998
Categoria_51,Turno_B,3,12,2,40,0,40,3,0,0,657972
